id,sector,town,region,search_query,google_maps_url,why_good_fit,likely_decision_maker,practice_name,website,public_phone,public_email_or_contact_form,status,notes
L001,Private Dental Practice,Newbury,South East England,private dental practice in Newbury,https://www.google.com/maps/search/private+dental+practice+in+Newbury,"Missed calls = lost high-value private treatment bookings (implants, Invisalign, hygiene).",Practice owner / Practice manager,,,,,to_research,
L002,Private GP Clinic,Newbury,South East England,private GP clinic in Newbury,https://www.google.com/maps/search/private+GP+clinic+in+Newbury,Self-pay patients expect instant response; after-hours enquiries go unanswered.,Practice manager / Clinic director,,,,,to_research,
L003,Physiotherapy Clinic,Newbury,South East England,physiotherapy clinic in Newbury,https://www.google.com/maps/search/physiotherapy+clinic+in+Newbury,Solo/small teams are with patients all day and can't answer the phone — books stay empty.,Clinic owner / Lead physiotherapist,,,,,to_research,
L004,Veterinary Clinic,Newbury,South East England,veterinary practice in Newbury,https://www.google.com/maps/search/veterinary+practice+in+Newbury,"High call volume, anxious owners, out-of-hours triage — reception is constantly overwhelmed.",Practice manager / Head vet,,,,,to_research,
L005,Private Dental Practice,Reading,South East England,private dental practice in Reading,https://www.google.com/maps/search/private+dental+practice+in+Reading,"Missed calls = lost high-value private treatment bookings (implants, Invisalign, hygiene).",Practice owner / Practice manager,,,,,to_research,
L006,Private GP Clinic,Reading,South East England,private GP clinic in Reading,https://www.google.com/maps/search/private+GP+clinic+in+Reading,Self-pay patients expect instant response; after-hours enquiries go unanswered.,Practice manager / Clinic director,,,,,to_research,
L007,Physiotherapy Clinic,Reading,South East England,physiotherapy clinic in Reading,https://www.google.com/maps/search/physiotherapy+clinic+in+Reading,Solo/small teams are with patients all day and can't answer the phone — books stay empty.,Clinic owner / Lead physiotherapist,,,,,to_research,
L008,Veterinary Clinic,Reading,South East England,veterinary practice in Reading,https://www.google.com/maps/search/veterinary+practice+in+Reading,"High call volume, anxious owners, out-of-hours triage — reception is constantly overwhelmed.",Practice manager / Head vet,,,,,to_research,
L009,Private Dental Practice,Basingstoke,South East England,private dental practice in Basingstoke,https://www.google.com/maps/search/private+dental+practice+in+Basingstoke,"Missed calls = lost high-value private treatment bookings (implants, Invisalign, hygiene).",Practice owner / Practice manager,,,,,to_research,
L010,Private GP Clinic,Basingstoke,South East England,private GP clinic in Basingstoke,https://www.google.com/maps/search/private+GP+clinic+in+Basingstoke,Self-pay patients expect instant response; after-hours enquiries go unanswered.,Practice manager / Clinic director,,,,,to_research,
