sku,style,aspect_ratio,resolution,prompt
AA-001,fresco,4:5,2k,"Aged fresco painting on cracked lime plaster: a tall black-figure amphora with Greek key bands and palmette frieze on a stone plinth, dawn light. Faded terracotta, ochre and charcoal mineral pigments, chipped plaster patches, water stains and centuries of patina, photographed straight-on under soft diffused museum light, museum fine art print, no people, no faces, no text, no watermark"
AA-002,fresco,4:5,2k,"Aged fresco painting on cracked lime plaster: a wide-bellied krater painted with wave scrolls and radiating rays, candlelit warmth. Faded terracotta, ochre and charcoal mineral pigments, chipped plaster patches, water stains and centuries of patina, photographed straight-on under soft diffused museum light, museum fine art print, no people, no faces, no text, no watermark"
AA-003,fresco,4:5,2k,"Aged fresco painting on cracked lime plaster: a slender hydria with three handles and chevron neck bands, harsh desert noon. Faded terracotta, ochre and charcoal mineral pigments, chipped plaster patches, water stains and centuries of patina, photographed straight-on under soft diffused museum light, museum fine art print, no people, no faces, no text, no watermark"
AA-004,fresco,4:5,2k,"Aged fresco painting on cracked lime plaster: a lekythos oil flask with laurel garland and checker base band, cool morning haze. Faded terracotta, ochre and charcoal mineral pigments, chipped plaster patches, water stains and centuries of patina, photographed straight-on under soft diffused museum light, museum fine art print, no people, no faces, no text, no watermark"
AA-005,fresco,4:5,2k,"Aged fresco painting on cracked lime plaster: a two-handled kylix drinking cup seen in profile with meander rim, soft overcast light. Faded terracotta, ochre and charcoal mineral pigments, chipped plaster patches, water stains and centuries of patina, photographed straight-on under soft diffused museum light, museum fine art print, no people, no faces, no text, no watermark"
AA-006,fresco,4:5,2k,"Aged fresco painting on cracked lime plaster: a pelike storage jar with lotus bud frieze and banded foot, dawn light. Faded terracotta, ochre and charcoal mineral pigments, chipped plaster patches, water stains and centuries of patina, photographed straight-on under soft diffused museum light, museum fine art print, no people, no faces, no text, no watermark"
AA-007,fresco,4:5,2k,"Aged fresco painting on cracked lime plaster: an oinochoe wine jug with trefoil mouth and spiral shoulder pattern, candlelit warmth. Faded terracotta, ochre and charcoal mineral pigments, chipped plaster patches, water stains and centuries of patina, photographed straight-on under soft diffused museum light, museum fine art print, no people, no faces, no text, no watermark"
AA-008,fresco,4:5,2k,"Aged fresco painting on cracked lime plaster: a stamnos vessel with ivy vine band and twin side handles, harsh desert noon. Faded terracotta, ochre and charcoal mineral pigments, chipped plaster patches, water stains and centuries of patina, photographed straight-on under soft diffused museum light, museum fine art print, no people, no faces, no text, no watermark"
AA-009,fresco,4:5,2k,"Aged fresco painting on cracked lime plaster: a volute krater with tall scrolled handles and palmette panels, cool morning haze. Faded terracotta, ochre and charcoal mineral pigments, chipped plaster patches, water stains and centuries of patina, photographed straight-on under soft diffused museum light, museum fine art print, no people, no faces, no text, no watermark"
AA-010,fresco,4:5,2k,"Aged fresco painting on cracked lime plaster: a neck amphora with panel of geometric horses and triangle rays, soft overcast light. Faded terracotta, ochre and charcoal mineral pigments, chipped plaster patches, water stains and centuries of patina, photographed straight-on under soft diffused museum light, museum fine art print, no people, no faces, no text, no watermark"
