name,segment,sector,location,email,phone,current_web_presence,evidence_of_need,why_they_would_pay,business_type_guess,source_url,notes
LNC Landscapes & Paving,North England — Trades,Landscaper / paving,"Preston, Lancashire",Info.lnclandscapes@mail.com,,"Facebook business page only; exact-email search surfaces no website, and the business uses a free mail.com address","Active landscaping/paving firm reachable only via Facebook; no domain, no portfolio site for a visual trade",Paving and landscaping are high-ticket jobs (thousands per project) won on photo portfolios; a gallery site plus local SEO for 'landscaping Preston' directly converts quotes,unknown,https://www.facebook.com/LncLandscapes,
JLB Roofing,North England — Trades,Roofer,"Stockport, Greater Manchester",JLBRoofing21@gmail.com,,"Free Wix subdomain only (jlbroofing21.wixsite.com/jlbroofing), no custom domain",12 years' trading experience but still on a free website-builder subdomain with a gmail contact address,"Established roofing repair/maintenance business already understands the value of a web presence (built the Wix page themselves); upgrading to a proper domain and site is a natural, affordable next step",sole trader,https://jlbroofing21.wixsite.com/jlbroofing,
Davison Plastering,North England — Trades,Plasterer,Newcastle upon Tyne,davisonplastering@gmail.com,,"Facebook page (100% recommended, 23 reviews) and Checkatrade profile; no own website found","Strong reputation (Facebook reviews, Checkatrade, Instagram) with no site to capture it; pays Checkatrade for leads instead","Run by Wayne Davison, handles full-house projects; a review-showcasing site would reduce reliance on paid directories and win larger renovation jobs",sole trader,https://www.facebook.com/Davisonplastering/,
Leeds Electrical Contractors,North England — Trades,Electrician,"Leeds, West Yorkshire",leedselectricalcontractors@gmail.com,+44 7710 607143,"Facebook page only (100% recommendation, 15 reviews); no website found in searches","Offers domestic, commercial and renewables work but is invisible outside Facebook; business name is itself a high-value search keyword going unused",Commercial and renewables (EV/solar) clients expect a website before engaging; an exact-match-name domain would rank quickly for 'electrical contractors Leeds',unknown,https://www.facebook.com/leedselectricalcontractors/,
Lomas Joinery,North England — Trades,Joiner / carpenter,"Sheffield, South Yorkshire",lomasjoinery@gmail.com,,"Facebook page (40 reviews, 100% recommended) plus a basic Yell.com listing; no own website",40 five-star-equivalent reviews with nowhere permanent to show workmanship photos; relies on Facebook and Yell only,Bespoke joinery is portfolio-driven and higher-margin; a gallery website converts the existing review base into larger fitted-furniture and staircase jobs,sole trader,https://www.facebook.com/lomasjoinery/,
Roscoe Roofing Services Ltd,North England — Trades,Roofer,"Liverpool (Whiston/Knowsley), Merseyside",roscoeroofingservices@gmail.com,07519140139,"Directory listings only (handybuilders.co.uk, ThreeBestRated Knowsley, ZoomInfo); no own website found",Constructionline Gold member and Confederation of Roofing Contractors member bidding for commercial work with no website and a gmail address,"Already invests in accreditations (CORC, Constructionline Gold, 10-year insurance-backed guarantees) to win commercial contracts; a credible website is the missing piece of that same sales infrastructure",ltd company,https://www.handybuilders.co.uk/business/roscoe-roofing-services,
SM Plastering Services,North England — Trades,Plasterer,Newcastle upon Tyne,smplasteringservices1@gmail.com,,"Facebook page only (100% recommendation, 39 reviews); no website found",Well-reviewed active business whose entire online presence is one Facebook page,39 strong reviews prove steady work; a simple site with before/after photos and the review feed would capture non-Facebook customers searching for plasterers in Newcastle,unknown,https://www.facebook.com/SmPlasteringServices/,
Tip Top Landscapes York,North England — Trades,Landscaper,"York, North Yorkshire",tiptoplandscapesyork@gmail.com,,Facebook page only (7 reviews); no UK website — tiptoplandscapes.com belongs to an unrelated US firm,"Growing business with a handful of reviews and no site; even its natural domain name space is occupied by a US company, making local branding urgent","Bespoke landscaping in York is a competitive, high-ticket market; a .co.uk site with a project gallery differentiates them from FB-only rivals and justifies premium quotes",unknown,https://www.facebook.com/TipTopLandscapesYork/,
G. Lyons Roofing Specialist,North England — Trades,Roofer (slating and tiling),"Asket Hill, Leeds LS8, West Yorkshire",glyonsroofings@gmail.com,+44 7960 607767,Facebook page only (page handle is literally his phone number); no website found,"Sole-trader roofer marketing purely through Facebook pages named after his phone number — no domain, no SEO presence at all","Roof repairs are urgent, search-driven purchases; a one-page site ranking for 'roofer Leeds LS8' would deliver jobs he currently never sees",sole trader,https://www.facebook.com/slatertiler01134180181/,
Gareth Jones Electrical,North England — Trades,Electrician,"Bolton, Greater Manchester",garethjoneselectrical@gmail.com,+44 7776 412018,"Facebook page only; self-employed electrician covering Greater Manchester, no website found",Explicitly self-employed and covering a wide Greater Manchester area with nothing but a Facebook page and gmail address,Electricians need to show certifications and coverage area to win landlord/EICR work; a simple credentials site plus Google Business integration is a proven quote-generator,sole trader,https://www.facebook.com/gjoneselectrical84/,
S.C. Walsh Plumbing & Heating,North England — Trades,Plumber / heating engineer,"Sheffield, South Yorkshire",scwalshplumbing@gmail.com,+44 7477 107089,Facebook page only; no website found,Active Sheffield plumbing and heating trader contactable only through Facebook and a gmail address,"Boiler and heating work is high-value and urgent; customers searching 'plumber Sheffield' never find Facebook-only firms, so a basic site pays for itself in one boiler job",sole trader,https://www.facebook.com/p/SCWalsh-Plumbing-Heating-61552796373309/,
