name,sector,location,email,contact_method,what_they_posted,post_date,source_url,why_hot
UK dog walking business (unnamed buyer on PeoplePerHour),Pet services / dog walking,United Kingdom (town not stated),,Submit a proposal on the PeoplePerHour job page (buyer contact is platform-gated),"""New website required for a UK Dog Walking Business"" — seeking a web designer to revamp their UK dog-walking site around a playful 'School Bus' theme: ""professional, conversion-focused and whimsical redesign that aligns with existing branding, enhances usability and mobile experience, optimizes calls-to-action"" (per search snippet).",2026-04-15,https://www.peopleperhour.com/freelance-jobs/design/web-design/new-website-required-for-a-uk-dog-walking-business-4488719,Live marketplace brief posted ~3 months ago explicitly asking for a full website redesign; budget-holder actively soliciting quotes.
Premium lifestyle & culture publication (unnamed buyer on PeoplePerHour),"Media / lifestyle & culture publishing (fashion, music, nightlife, hospitality)",United Kingdom,,Submit a proposal on the PeoplePerHour job page (buyer contact is platform-gated),"""I need a web designer for redesign or new website"" — wants to ""either redesign an existing website or potentially rebuild it entirely""; brand is a ""premium lifestyle & culture publication"" wanting a clean, minimal, luxury-editorial, mobile-first site (per search snippet; a related snippet confirmed the project is UK-based).",2026-05,https://www.peopleperhour.com/freelance-jobs/design/web-design/i-need-a-web-designer-for-redesign-or-new-website-4495024,"Very recent (May 2026) open brief for a full redesign/rebuild; still fielding freelancer questions per snippet, so likely not yet awarded."
Bob's Bike Stuff (bobsbikestuff.co.uk),E-commerce — motorcycle accessories retailer,United Kingdom (UK phone +44 7758816569; .co.uk store),,Submit a proposal on the PeoplePerHour job page; business also has a contact page at bobsbikestuff.co.uk/contact.html and UK phone +44 7758816569 (no email visible in snippets),"PeoplePerHour project ""Website redesign"": ""redesign an existing website (bobsbikestuff.co.uk) by moving to the Shopify platform using the Bumbleb theme from Themeforest"" (per search snippet).",,https://www.peopleperhour.com/freelance-jobs/design/web-design/website-redesign-4433850,"Named, verifiable UK retailer publicly commissioning a replatform to Shopify — concrete scoped project with a real product catalogue."
Nerd Express (nerdexpress.co.uk),Computer repair / IT support (PC callout),"London, UK",help@nerdexpress.co.uk,Email help@nerdexpress.co.uk (email seen in search snippet of their contact page) or via PeoplePerHour job page,"PeoplePerHour project ""New Website"": client ""wants a website layout copied and designed for their computer repair business in the UK... created using Elementor if possible with full HTTPS... current website is www.nerdexpress.co.uk"", referencing calldieseldudes.com/services as the template (per search snippet).",2025-08,https://www.peopleperhour.com/freelance-jobs/design/web-design/new-website-4413163,"Named UK business with a public, specific new-website brief AND a directly contactable email surfaced in search snippets."
London restoration services business (unnamed buyer on PeoplePerHour),Property restoration services,"London, UK",,Submit a proposal on the PeoplePerHour job page (buyer contact is platform-gated),"""I need a website"" — wants a ""professional, SEO-friendly website for a London-based restoration services business, mirroring a Victorian home restoration example with service pages, gallery, testimonials, contact form, and responsive design""; stated budget £79 (per search snippet).",2026-04-18,https://www.peopleperhour.com/freelance-jobs/design/web-design/i-need-a-website-4489529,Recent (April 2026) explicit new-website request from a London trade business; note the stated £79 budget is unrealistically low — a candidate for an upsell conversation rather than as-quoted work.
London VFX company (unnamed buyer on PeoplePerHour),VFX / post-production,"London, UK",,Submit a proposal on the PeoplePerHour job page (buyer contact is platform-gated),"""Wix Studio Website, 3 Pages, Assets and Copy Ready"" — ""experienced web designer to set up their website using the Wix Studio platform... The business is a VFX company based in London""; landing page, About Us, Contact Us; all copy and imagery provided (per search snippet).",2026-04 (delivery deadline was 15 April),https://www.peopleperhour.com/freelance-jobs/design/web-design/wix-studio-website-3-pages-assets-and-copy-ready-4486438,"London creative company with assets ready and a defined small scope — fast, winnable job posted spring 2026."
Children's home operator (unnamed buyer on PeoplePerHour),Children's residential care,,,Submit a proposal on the PeoplePerHour job page (buyer contact is platform-gated),"""I need a website designing for a childrens home"" — seeking a designer ""to create a contemporary website for a children's home... adherence to established color schemes and branding guidelines... optimized for both desktop and mobile"" (per search snippet). Same buyer pattern also posted ""Design a Fun Children's Guide for a Children's Home"" (a UK/Ofsted-specific document), strongly suggesting a UK children's home, though the listing snippet does not state the country explicitly.",,https://www.peopleperhour.com/freelance-jobs/design/web-design/i-need-a-website-designing-for-a-childrens-home-4442102,"Explicit new-website brief in a regulated sector; snippet notes it has attracted many proposals, i.e. an active buyer. Caveat: UK location inferred (children's-home/Children's Guide terminology), not stated."
Inspired Children Ltd (Ben Kingston-Hughes),Children's workforce training / CPD (early years),"UK (phone 0116 — Leicester area code, per search snippet)",info@inspiredchildren.org.uk,Email info@inspiredchildren.org.uk (seen in search snippet) or comment/DM on their Facebook page post,"Public post on the business's own Facebook page: ""Can anyone recommend a web designer or company? I am fed up of my website and fin[d]..."" (quoted from search-result snippet; post truncated).",,https://www.facebook.com/inspiredchildrentraining/posts/can-anyone-recommend-a-web-designer-or-company-i-am-fed-up-of-my-website-and-fin/1389645246281222/,"An established, multi award-winning UK training agency publicly saying it is fed up with its current website and asking for designer recommendations — classic redesign demand, with a public email available. Post date not visible in search results."
Natasha Quinn,,"East Kent (Folkestone / Canterbury), UK",,Comment on / DM via her public Facebook post,"Public Facebook post: ""Can anyone recommend a web designer in East Kent, Folkestone, Canterbury. I'm not lo[oking...]"" (quoted from search-result snippet; post truncated).",,https://www.facebook.com/natasha.quinn.1401/posts/can-anyone-recommend-a-web-designer-in-east-kent-folkestone-canterbury-im-not-lo/10158047927287015/,Direct public request for a local web designer in a named UK area. Caveat: post date not visible in search results and the URL ID pattern suggests it may be an older post — verify recency before outreach.
"Unnamed poster, Devizes Issues Facebook group",,"Devizes, Wiltshire, UK",,Comment on / DM via the Facebook group post (group membership may be required),"Group post indexed by search as ""Web design services in Devizes for new website"" — someone in the Devizes community group asking for web design services for a new website. A sibling post in the same group is indexed as ""Web design services in Devizes for website improvement"".",,https://www.facebook.com/groups/devizesissues/posts/24593535933580346/,"Local, explicit ask for a new website in a specific UK town; the very high post ID suggests a relatively recent post, but the date is not visible in search snippets."
