name,segment,sector,location,email,phone,current_web_presence,evidence_of_need,why_they_would_pay,business_type_guess,source_url
LK Electrical / Electronic Engineer,Midlands & South — Trades,Electrician,"Leicester, Leicestershire",lansana.kebe@yahoo.co.uk,+447881300343,Nextdoor business page only; no website found,"Google-indexed Nextdoor snippet shows contact as personal Yahoo address 'lansana.kebe@yahoo.co.uk' with mobile number - no domain, no site","Active electrician/electronic engineer marketing on Nextdoor for work; a personal yahoo address undermines trust for compliance-led trades (NICEIC-style credibility), so a simple site is an easy upsell",sole trader,https://nextdoor.co.uk/pages/lk-electrical-electronic-engineer-leicester-gb-eng/
Plaster It Purple,Midlands & South — Trades,Plasterer,"Arnold, Nottingham",Plasteritpurple@gmail.com,,Nextdoor business page only; no website found,Nextdoor listing snippet: 'local lady plasterer in Nottingham with the email Plasteritpurple@gmail.com... also a GlamRend applicator' - gmail-only contact,Distinctive brand (female plasterer + GlamRend decorative finishes) with a memorable name but nowhere to send customers; strong differentiation story that a portfolio site would monetise,sole trader,https://nextdoor.co.uk/pages/plaster-it-purple-arnoldnottingham-england/
TQ Bricklaying And Joinery,Midlands & South — Trades,Builder / bricklayer-joiner,"457 Hanley Road, Stoke-on-Trent ST6 1RB",chantelleriley91@hotmail.co.uk,07557141230,Nextdoor business page only; no website found,"Nextdoor snippet lists 'Email: chantelleriley91@hotmail.co.uk, Phone: 07557141230, Address: 457 Hanley Road' - personal hotmail as business contact",Trading with a fixed premises address and two trades (brick + joinery) but only a personal hotmail; extensions/brickwork are high-ticket jobs where a website directly wins quotes,sole trader,https://nextdoor.co.uk/pages/tq-bricklaying-and-joinery-stoke-on-trent-england/
Andrew Dillon Painter And Decorator,Midlands & South — Trades,Painter & decorator,"4 Elms Dr, Oxford OX3 0NJ",dillonandrew9@gmail.com,,Nextdoor business page only; no website found,"Nextdoor listing snippet shows 'contact email dillonandrew9@gmail.com' - numbered personal gmail, no domain or site",Established decorator in affluent Oxford (OX3) relying on neighbourhood referrals; Oxford homeowners search online and a basic brochure site plus gallery would pay for itself in one repaint job,sole trader,https://nextdoor.co.uk/pages/andrew-dillon-painter-and-decorator-oxford-england/
CBell Decorators,Midlands & South — Trades,Painter & decorator,"Botley Road, Oxford OX2 0HW",CBellContracts@gmail.com,,Nextdoor business page only; no website found,Nextdoor listing snippet shows 'contact email CBellContracts@gmail.com' - branded name ('Contracts') but still on gmail with no site,The 'Contracts' branding suggests commercial/contract ambitions where procurement expects a web presence; currently invisible outside Nextdoor in a wealthy catchment (West Oxford),sole trader,https://nextdoor.co.uk/pages/cbell-decorators-oxford-gb-eng/
Better Call Paul - Garden and Maintenance,Midlands & South — Trades,Landscaper / garden maintenance,"Swindon, Wiltshire",Paul_Hill15@hotmail.com,07790244452,Nextdoor business page only; no website found,"Nextdoor snippet lists 'Paul_Hill15@hotmail.com, Phone: 07790244452' - personal hotmail behind a strong trading name","Memorable brand name with zero owned web presence; landscaping is visual and quote-driven, so a before/after gallery site converts directly, and the branding shows marketing awareness",sole trader,https://nextdoor.co.uk/pages/better-call-paul-garden-and-maintenance-swindon-gb-eng/
House and Garden Care,Midlands & South — Trades,Landscaper / property & garden maintenance,"Swindon, Wiltshire",houseandgardencare@hotmail.com,07772 162653,Nextdoor business page only; no website found,"Nextdoor snippet lists 'houseandgardencare@hotmail.com, Phone: 07772 162653' - business-named hotmail account but no domain or website","Already invested in a business-named email, signalling brand intent; recurring-revenue maintenance model benefits from a booking/enquiry site and the matching .co.uk is an obvious next step",sole trader,https://nextdoor.co.uk/pages/house-and-garden-care-swindon-gb-eng/
AR Roofing,Midlands & South — Trades,Roofer,"Southampton, Hampshire",adam.roofing82@gmail.com,,Nextdoor business page only; no website found,"Nextdoor search snippet for Southampton roofers shows 'AR Roofing with email adam.roofing82@gmail.com' - personal gmail, no site","Roofing is one of the highest average-job-value trades; competing Southampton roofers all rank with proper sites, so an invisible gmail-only roofer is losing storm/repair searches worth thousands",sole trader,https://nextdoor.co.uk/pages/ar-roofing-1/
Jacobat Carpentry And Joinery Building Services,Midlands & South — Trades,Joiner / carpenter-builder,"Warmley, Bristol",jacobat90@gmail.com,,Nextdoor business page only; no website found,Nextdoor listing snippet shows contact 'jacobat90@gmail.com' - personal gmail for a carpentry-and-building outfit with no domain,Offers full building services (higher-ticket than pure carpentry) across the Bristol fringe; buyers comparison-shop builders online and a portfolio site is table stakes for winning extension work,sole trader,https://nextdoor.co.uk/pages/jacobat-carpentry-and-joinery-building-services-warmleybristol-england/
Westwood Plastering,Midlands & South — Trades,Plasterer,"Longford, Coventry",Jwestwoodx@gmail.com,,Nextdoor business page only; no website found,"Nextdoor snippet: 'Westwood Plastering - Contact: Jwestwoodx@gmail.com - A plasterer based in Longford' - personal gmail, no site",Actively soliciting work on Nextdoor in Coventry where skim/render demand is steady; a one-page site with photos and reviews would lift conversion from directory traffic at low cost to him,sole trader,https://nextdoor.co.uk/pages/ndj-westwood-plastering-cannock-gb-eng/
